Price,Close,High,Low,Open,Volume,company_name
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2022-01-03,325.63482666015625,328.79632983161406,320.8001575458787,326.21849472143583,28865100,MICROSOFT
2022-01-04,320.05108642578125,326.0725354624278,317.2397667073394,325.712585604074,32674300,MICROSOFT
2022-01-05,307.7649841308594,317.19112801347296,307.37588205960316,316.9868249346307,40054300,MICROSOFT
2022-01-06,305.33306884765625,310.02182762578025,303.00813417247446,304.6229360221158,39646100,MICROSOFT
2022-01-07,305.4886779785156,307.88168370072367,301.646224869703,305.59566842155346,32720000,MICROSOFT
2022-01-10,305.71246337890625,306.15022181964656,296.393338433709,301.0626232641906,44289500,MICROSOFT
2022-01-11,306.4031066894531,307.9886968599788,301.45171092918275,304.84666874501306,29386800,MICROSOFT
2022-01-12,309.6035461425781,314.6035989823471,308.44594728470446,310.9654481070807,34372200,MICROSOFT
2022-01-13,296.5002746582031,312.1424323832411,295.72207055768473,311.7435931335858,45366000,MICROSOFT
2022-01-14,301.7532653808594,302.35637803001896,295.47888701649265,295.96527201569677,39846400,MICROSOFT
2022-01-18,294.4088439941406,301.3641437796384,293.5236197033921,295.7901905004896,42333200,MICROSOFT
2022-01-19,295.0703430175781,305.3622673575025,294.4575227878917,297.9497639039901,45933900,MICROSOFT
2022-01-20,293.3874206542969,303.16374670375416,292.9399547929001,300.654013313696,35380700,MICROSOFT
2022-01-21,287.9691162109375,295.82908513910786,287.56053972855347,294.44776829500927,57984400,MICROSOFT
2022-01-24,288.29986572265625,289.01970608679983,268.5331704445488,284.2434310873334,85731500,MICROSOFT
2022-01-25,280.63446044921875,286.95746663545754,277.40488600513294,283.5819529147249,72848600,MICROSOFT
2022-01-26,288.63055419921875,300.09951985031154,285.0507680240012,299.6033976921818,90428900,MICROSOFT
2022-01-27,291.6754150390625,298.9322724644333,289.8174203829924,294.41863414508794,53481300,MICROSOFT
2022-01-28,299.8661193847656,300.08012999341486,286.4321667298066,292.05477669895004,49743700,MICROSOFT
2022-01-31,302.5120544433594,303.8739266373001,298.0275688741196,300.53733234049855,46444500,MICROSOFT
2022-02-01,300.3525085449219,302.17158390005085,296.82134829715966,301.9575732884717,40950400,MICROSOFT
2022-02-02,304.9245300292969,306.53933207840674,300.4692557003281,301.19883332986984,36636000,MICROSOFT
2022-02-03,293.0469665527344,302.7552219741665,291.79208492313614,301.0625819638804,43730000,MICROSOFT
2022-02-04,297.6092834472656,300.3913916526521,291.8018448276198,292.0353001493062,35096500,MICROSOFT
2022-02-07,292.755126953125,299.4574964401452,291.73370069846914,297.83298725575605,28533300,MICROSOFT
2022-02-08,296.2668762207031,297.2396463763231,291.7824200528577,293.04700938052804,32421200,MICROSOFT
2022-02-09,302.7357482910156,303.436143889823,299.0197893926343,301.4322400322935,31284700,MICROSOFT
2022-02-10,294.1462097167969,300.7026702927466,292.5119631728677,295.76101154707897,45386200,MICROSOFT
2022-02-11,287.00604248046875,296.00416414551785,286.2083640297064,294.93411130749297,39175600,MICROSOFT
2022-02-14,286.96722412109375,288.6793092630172,283.41661864132067,285.77070602487333,36359500,MICROSOFT
2022-02-15,292.28826904296875,292.6092701533062,288.9321999110304,291.8408030542407,27058300,MICROSOFT
2022-02-16,291.94708251953125,293.2825285212972,286.2738465978352,290.8455745770607,29982100,MICROSOFT
2022-02-17,283.3982238769531,289.31512471612086,282.6866227036371,288.88621849493984,32461600,MICROSOFT
2022-02-18,280.6687927246094,286.44923910919783,279.0896516648839,285.65966857933506,34264000,MICROSOFT
2022-02-22,280.4641418457031,284.1878144144707,277.3253441421195,277.8127349051109,41736100,MICROSOFT
2022-02-23,273.2019958496094,284.34377082174444,273.03629965616943,282.86208392715645,37811200,MICROSOFT
2022-02-24,287.1608581542969,287.71649070941305,264.67264340429557,265.6376972494891,56989700,MICROSOFT
2022-02-25,289.8122863769531,290.12422359753356,284.2950194983155,287.69702717357785,32546700,MICROSOFT
2022-02-28,291.2549743652344,291.59615384176226,285.6109811188131,286.8879425112131,34627500,MICROSOFT
2022-03-01,287.5118103027344,292.40520263800084,284.7824043016217,288.9252256042664,31217800,MICROSOFT
2022-03-02,292.6195983886719,293.86731725235705,286.2932773237327,287.9113880900415,31873000,MICROSOFT
2022-03-03,288.4573669433594,295.4855335304221,286.6345004718667,295.2515954797372,27314500,MICROSOFT
2022-03-04,282.5501708984375,288.2039218391596,279.92803584979396,286.8684758512566,32356500,MICROSOFT
2022-03-07,271.8763122558594,282.3844556560814,271.5058905254741,281.25370554415764,43157200,MICROSOFT
2022-03-08,268.8935241699219,276.7989890743879,263.1910455663884,270.79433053911623,48159500,MICROSOFT
2022-03-09,281.22442626953125,282.29669173003094,273.699112875797,276.29203489919934,35204500,MICROSOFT
2022-03-10,278.3878479003906,279.3723867449448,273.50418301542686,275.88265227991445,30628000,MICROSOFT
2022-03-11,273.0070495605469,282.2089888863428,272.38317514959226,280.6980597805448,27209300,MICROSOFT
2022-03-14,269.4685974121094,278.2026312310251,268.8642376481267,273.2702392726219,30660700,MICROSOFT
2022-03-15,279.90850830078125,280.5616250101141,271.70086453830385,273.2800058454423,34245100,MICROSOFT
2022-03-16,286.96600341796875,287.14145698719096,276.05819364499655,281.81912740363293,37826300,MICROSOFT
2022-03-17,287.7750244140625,288.1551737681547,282.0725461188908,285.8937030703345,30816600,MICROSOFT
2022-03-18,292.8535461425781,293.4091786369837,285.347747793667,287.921155021076,43390600,MICROSOFT
2022-03-21,291.6156005859375,292.5708970455594,287.46302239668256,291.35242032316927,28351200,MICROSOFT
2022-03-22,296.3920593261719,297.30835631234925,291.23545688233907,292.2394806334095,27599700,MICROSOFT
2022-03-23,291.937255859375,295.58295832284585,290.2119035858375,292.93155187121516,25715400,MICROSOFT
2022-03-24,296.4310302734375,296.528514363223,290.79679496025915,291.5961228493457,24484500,MICROSOFT
2022-03-25,296.0216369628906,297.7957464215104,291.74236167311045,297.53256612739574,22566500,MICROSOFT
2022-03-28,302.8646240234375,302.9620783750849,296.65524087861996,296.65524087861996,29578200,MICROSOFT
2022-03-29,307.455810546875,307.85547449791466,301.25618526094905,305.9936384202282,30393400,MICROSOFT
2022-03-30,305.9448547363281,307.9821738994421,303.72235448816923,305.84740040145147,28163600,MICROSOFT
2022-03-31,300.534912109375,307.19268708279805,300.1255204970668,305.9839376726165,33422100,MICROSOFT
2022-04-01,301.616943359375,302.3090299833773,297.83478589642,301.5681864293625,27110500,MICROSOFT
2022-04-04,307.0269470214844,307.1634009699958,301.8995865319646,302.27000828188045,24289600,MICROSOFT
2022-04-05,303.04010009765625,306.92946905359616,302.0555611898227,305.3698125875941,23156700,MICROSOFT
2022-04-06,291.94708251953125,299.2579443522407,289.2274335883309,297.49359207645136,40110400,MICROSOFT
2022-04-07,293.7698669433594,295.992367354406,288.87647500488833,289.1786548602699,31411200,MICROSOFT
2022-04-08,289.4808044433594,293.5261408970455,288.80820296514565,292.86329675120044,24361900,MICROSOFT
2022-04-11,278.066162109375,285.2307818696367,277.81270941652224,284.4314837001225,34569300,MICROSOFT
