Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL,,GOOG,GOOG,GOOG,GOOG,GOOG,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN
178.87989807128906,179.7349465415521,174.65385883537695,174.77179035001552,104487900.0,APPLE,,,,,,,,,,,,,,,
176.60964965820312,179.79393593953884,176.0396222685355,179.4892694890775,99310400.0,APPLE,,,,,,,,,,,,,,,
171.91183471679688,177.0715485386063,171.63665117934394,176.52118146370043,94537600.0,APPLE,,,,,,,,,,,,,,,
169.04208374023438,172.28533602057317,168.68827412789958,169.73004270966848,96904000.0,APPLE,,,,,,,,,,,,,,,
169.20912170410156,171.14524402422893,168.08872734087262,169.91674077523325,86709100.0,APPLE,,,,,,,,,,,,,,,
169.2288055419922,169.53347199078678,165.27793434356843,166.17228843262194,106765600.0,APPLE,,,,,,,,,,,,,,,
172.06912231445312,172.16739360021757,167.88238763208216,169.35659188597938,76138300.0,APPLE,,,,,,,,,,,,,,,
172.51133728027344,174.13295555388092,171.81355583992206,173.09118720876316,74805200.0,APPLE,,,,,,,,,,,,,,,
169.2288055419922,173.5826144650006,168.835675449693,172.7570637657418,84505800.0,APPLE,,,,,,,,,,,,,,,
170.09368896484375,170.79147055967272,168.14772861005764,168.39342931174855,80440800.0,APPLE,,,,,,,,,,,,,,,
166.87986755371094,169.5727368069087,166.49657517844096,168.56045143128856,90956700.0,APPLE,,,,,,,,,,,,,,,
163.3712615966797,168.1378599017272,163.086255459233,167.07643136174622,94815000.0,APPLE,,,,,,,,,,,,,,,
161.68087768554688,166.7619661877595,161.3565509731018,164.10840171802175,91420500.0,APPLE,,,,,,,,,,,,,,,
159.6169891357422,163.46957389675498,159.50888023954428,161.59241715203612,122848900.0,APPLE,,,,,,,,,,,,,,,
158.840576171875,159.50888984216238,152.03958291935942,157.26810076459748,162294600.0,APPLE,,,,,,,,,,,,,,,
157.03221130371094,159.9609590965899,154.31968130054574,156.24596615896806,115798400.0,APPLE,,,,,,,,,,,,,,,
156.94375610351562,161.56292551584528,155.1059199641222,160.6882317654177,108275300.0,APPLE,,,,,,,,,,,,,,,
156.48184204101562,161.02238556956317,155.55800513342504,159.65629046052865,121954600.0,APPLE,,,,,,,,,,,,,,,
167.40077209472656,167.42043234611594,160.00026956448573,162.86022878833853,179935700.0,APPLE,,,,,,,,,,,,,,,
171.77423095703125,171.9904487208476,166.59485724513786,167.2336879096415,115541600.0,APPLE,,,,,,,,,,,,,,,
171.607177734375,171.83321815334287,169.3467285555597,171.01749012376968,86213900.0,APPLE,,,,,,,,,,,,,,,
172.8160400390625,172.85536054887322,170.3492104199486,171.74478859061858,84914300.0,APPLE,,,,,,,,,,,,,,,
169.9265594482422,173.20913145041823,169.15997463841794,171.47938931840278,89418100.0,APPLE,,,,,,,,,,,,,,,
169.64122009277344,171.32396054369477,167.9584796418521,168.9425345214472,82465400.0,APPLE,,,,,,,,,,,,,,,
168.92286682128906,171.17634592324976,168.22418123926562,170.1037296917855,77251200.0,APPLE,,,,,,,,,,,,,,,
172.04229736328125,172.55401004838063,168.69650213361186,168.9917215679186,74829200.0,APPLE,,,,,,,,,,,,,,,
173.46917724609375,173.83327271357754,172.11117683042102,173.24284884864312,71285000.0,APPLE,,,,,,,,,,,,,,,
169.37550354003906,172.68192819387235,168.8146001247778,171.36329839541398,90865900.0,APPLE,,,,,,,,,,,,,,,
165.95101928710938,170.32022548644153,165.360580335394,169.58218430454045,98670700.0,APPLE,,,,,,,,,,,,,,,
166.18716430664062,166.87599960086266,163.90415017095245,164.7012320839439,86185500.0,APPLE,,,,,,,,,,,,,,,
170.03482055664062,170.19227292675632,167.5353279968633,168.24384864689935,62527400.0,APPLE,,,,,,,,,,,,,,,
169.7986602783203,170.57605697053586,167.33852325607717,169.1098249151892,61177400.0,APPLE,,,,,,,,,,,,,,,
166.18716430664062,169.16884887808143,165.78369827163797,168.30287592792615,69589300.0,APPLE,,,,,,,,,,,,,,,
164.63238525390625,167.82071347120757,163.54008373100112,167.11220776829634,82772700.0,APPLE,,,,,,,,,,,,,,,
161.6999053955078,164.03211066057264,159.56449308823295,162.3493702057695,91162800.0,APPLE,,,,,,,,,,,,,,,
157.51766967773438,163.50071005203375,157.20276491304196,162.90043598288878,90009200.0,APPLE,,,,,,,,,,,,,,,
160.14508056640625,160.25332719300383,149.57632680623354,150.14708038143124,141147500.0,APPLE,,,,,,,,,,,,,,,
162.22146606445312,162.48715009234238,158.30491651486224,161.22756094554026,91974200.0,APPLE,,,,,,,,,,,,,,,
162.4871368408203,162.78235630766343,159.84002681342048,160.45998619224247,95056600.0,APPLE,,,,,,,,,,,,,,,
160.5977783203125,163.9435744405098,159.3873948345279,162.07386086924092,83474400.0,APPLE,,,,,,,,,,,,,,,
163.9041748046875,164.69142169446647,160.35173616541616,161.7687775639212,79724800.0,APPLE,,,,,,,,,,,,,,,
163.5793914794922,166.21666560789785,162.91024156086303,165.7836791826759,76678400.0,APPLE,,,,,,,,,,,,,,,
160.5681915283203,162.91024634323853,159.51526088651318,161.86715084211824,83737200.0,APPLE,,,,,,,,,,,,,,,
156.75991821289062,162.38871235198252,156.50405437853348,160.7551779306378,96418800.0,APPLE,,,,,,,,,,,,,,,
154.9295654296875,160.28282509123494,153.31571641544002,156.28756564227362,131148300.0,APPLE,,,,,,,,,,,,,,,
